timestamp,src,dst,l3,l4,sport,dport,length,apps
1756455522.715888,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.719255,fe80::1607:8ff:fe15:115e,ff02::16,IPv6,,,,110,
1756455522.732315,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,607,https
1756455522.73254,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,93,https
1756455522.732601,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455522.735265,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,93,https
1756455522.779982,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.821565,192.168.160.1,192.168.160.91,ARP,,,,60,
1756455522.825903,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,227,https
1756455522.831086,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.868698,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,147,https
1756455522.871663,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.898671,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,66,https
1756455522.902605,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,66,https
1756455522.902849,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,54,https
1756455522.904088,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,1514,https
1756455522.904088,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,897,https
1756455522.909556,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,60,https
1756455522.909556,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,60,https
1756455523.102191,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1116,https
1756455523.104019,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,93,https
1756455523.107391,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455523.129352,192.168.160.1,192.168.160.62,ARP,,,,60,
1756455523.129352,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455523.129502,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455523.129502,192.168.160.245,192.168.160.245,ARP,,,,60,
1756455523.129502,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455523.338062,192.168.160.120,192.168.160.1,ARP,,,,60,
1756455523.338062,192.168.160.90,192.168.160.91,ARP,,,,60,
1756455523.44292,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,86,https
1756455523.44292,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,85,https
1756455523.44292,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,85,https
1756455523.44292,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,329,https
1756455523.443738,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455523.444494,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455523.444831,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,74,https
1756455523.445103,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455523.446233,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1454,https
1756455523.446233,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1180,https
1756455523.446233,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.446233,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1394,https
1756455523.446233,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.446233,192.168.160.1,192.168.160.2,ARP,,,,60,
1756455523.446487,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455523.446487,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455523.446526,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455523.446703,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455523.44679,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455523.446839,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455523.446893,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455523.448319,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,889,https
1756455523.448451,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455523.449141,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,708,https
1756455523.449283,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.449511,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.449511,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.449645,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.449761,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.449989,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.450077,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.450225,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.452318,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.452438,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.452753,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.452753,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.452913,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.453282,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.457011,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.457011,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,794,https
1756455523.457283,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.507165,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.50902,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.50902,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1394,https
1756455523.50902,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.50902,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1394,https
1756455523.50902,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.50902,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1394,https
1756455523.50902,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.509736,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.510204,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.510381,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.512255,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1394,https
1756455523.51264,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.744712,192.168.130.28,224.0.0.251,IPv4,UDP,5353,5353,292,dns
1756455523.744712,fe80::7474:cff:fe8b:133a,ff02::fb,IPv6,UDP,5353,5353,312,dns
1756455523.745927,192.168.160.201,239.255.255.250,IPv4,UDP,1900,1900,143,
1756455523.745927,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455523.745927,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455523.745927,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,769,https
1756455523.745927,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,1514,https
1756455523.745927,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,1514,https
1756455523.745927,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,1514,https
1756455523.745927,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,1052,https
1756455523.745927,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,1052,https
1756455523.745927,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,769,https
1756455523.74648,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455523.746696,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,54,https
1756455523.746825,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,54,https
1756455523.746906,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,66,https
1756455523.746979,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455523.752065,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,128,https
1756455523.75406,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,146,https
1756455523.754947,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,60,https
1756455523.755079,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,311,https
1756455523.75695,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,60,https
1756455523.75695,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,60,https
1756455523.788506,192.168.160.94,4.2.2.2,IPv4,UDP,52968,53,74,dns
1756455523.789033,192.168.160.94,4.2.2.2,IPv4,UDP,55083,53,74,dns
1756455523.911652,192.168.160.94,4.2.2.2,IPv4,UDP,53093,53,88,dns
1756455523.912389,192.168.160.94,4.2.2.2,IPv4,UDP,49912,53,88,dns
1756455524.15457,192.168.160.1,192.168.160.91,ARP,,,,60,
1756455524.15457,4.2.2.2,192.168.160.94,IPv4,UDP,53,55083,144,dns
1756455524.15457,4.2.2.2,192.168.160.94,IPv4,UDP,53,52968,190,dns
1756455524.154797,4.2.2.2,192.168.160.94,IPv4,UDP,53,53093,104,dns
1756455524.154797,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455524.154797,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455524.154797,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455524.161536,192.168.160.94,142.251.29.138,IPv4,UDP,57908,443,1292,https
1756455524.162519,4.2.2.2,192.168.160.94,IPv4,UDP,53,49912,138,dns
1756455524.162519,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,1070,https
1756455524.162519,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,85,https
1756455524.162519,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,782,https
1756455524.162927,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,54,https
1756455524.162978,192.168.160.94,142.251.29.138,IPv4,UDP,57908,443,1292,https
1756455524.167102,142.251.29.138,192.168.160.94,IPv4,ICMP,,,590,
1756455524.16726,142.251.29.138,192.168.160.94,IPv4,ICMP,,,590,
1756455524.168382,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,85,https
1756455524.168791,192.168.160.94,142.250.129.147,IPv4,TCP,60651,443,93,https
1756455524.17139,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,60,https
1756455524.17139,142.250.129.147,192.168.160.94,IPv4,TCP,443,60651,60,https
1756455524.178152,192.168.160.94,142.251.29.138,IPv4,UDP,57908,443,124,https
